circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr7:149018992|149021147	chr7	149018992	149021147	4	4_4_0	332	0.024	exon	ENSG00000155660.10,	-	SRR3479243.13560048,SRR3479243.16177754,SRR3479243.22186180,SRR3479243.24290170,
chr7:149074386|149080717	chr7	149074386	149080717	2	2_2_0	7	0.364	exon	ENSG00000197362.14,	-	SRR3479243.14181479,SRR3479243.22072857,
chr7:149153945|149154340	chr7	149153945	149154340	8	6_7_0	31	0.340	exon	ENSG00000197024.8,	+	SRR3479243.496103,SRR3479243.12730900,SRR3479243.7033042,SRR3479243.8649800,SRR3479243.20821742,SRR3479243.3521515,SRR3479243.3913526,SRR3479243.23381884,
chr7:151116793|151128684	chr7	151116793	151128684	2	0_1_2	85	0.045	exon	ENSG00000133612.18,	+	SRR3479243.3850786,SRR3479243.19510158,
chr7:151117095|151118632	chr7	151117095	151118632	2	2_2_0	412	0.010	exon	ENSG00000133612.18,	+	SRR3479243.16556234,SRR3479243.18615499,
chr7:151477333|151498180	chr7	151477333	151498180	2	2_2_0	9	0.308	exon	ENSG00000106615.9,	-	SRR3479243.16849850,SRR3479243.6904718,
chr7:152176191|152178010	chr7	152176191	152178010	2	2_2_0	36	0.100	exon	ENSG00000055609.17,	-	SRR3479243.18541608,SRR3479243.7423245,
chr7:152194009|152199459	chr7	152194009	152199459	2	2_2_0	97	0.040	exon	ENSG00000055609.17,	-	SRR3479243.7696866,SRR3479243.30656240,
chr7:152220523|152238826	chr7	152220523	152238826	7	7_6_1	81	0.147	exon	ENSG00000055609.17,	-	SRR3479243.15584272,SRR3479243.15929100,SRR3479243.20465513,SRR3479243.21192401,SRR3479243.9441183,SRR3479243.5144207,SRR3479243.28830860,
chr7:152238707|152250966	chr7	152238707	152250966	2	1_1_1	49	0.075	exon	ENSG00000055609.17,	-	SRR3479243.14730363,SRR3479243.4454676,
chr7:152263016|152265209	chr7	152263016	152265209	2	1_1_1	23	0.148	exon	ENSG00000055609.17,	-	SRR3479243.8671075,SRR3479243.24621155,
chr7:152263016|152315338	chr7	152263016	152315338	4	1_4_1	60	0.118	exon	ENSG00000055609.17,	-	SRR3479243.12821529,SRR3479243.14863850,SRR3479243.14209080,SRR3479243.4615820,
chr7:152309966|152315338	chr7	152309966	152315338	14	7_10_3	72	0.280	exon	ENSG00000055609.17,	-	SRR3479243.614602,SRR3479243.2033021,SRR3479243.17115276,SRR3479243.21784154,SRR3479243.19767368,SRR3479243.20490305,SRR3479243.21357277,SRR3479243.25322000,SRR3479243.9926368,SRR3479243.10660134,SRR3479243.5995665,SRR3479243.29928329,SRR3479243.23891881,SRR3479243.27275813,
chr7:152330601|152358675	chr7	152330601	152358675	3	3_3_0	40	0.130	exon	ENSG00000055609.17,	-	SRR3479243.2764429,SRR3479243.23434386,SRR3479243.19477650,
chr7:152783187|152825122	chr7	152783187	152825122	10	2_3_5	16	0.556	exon	ENSG00000133627.17,	+	SRR3479243.17083620,SRR3479243.24100813,SRR3479243.10163247,SRR3479243.28233916,SRR3479243.534810,SRR3479243.2178436,SRR3479243.23404350,SRR3479243.26211288,SRR3479243.10868536,SRR3479243.6006208,
chr7:154959890|154962458	chr7	154959890	154962458	2	0_2_1	176	0.022	exon	ENSG00000157212.18,	-	SRR3479243.30141012,SRR3479243.391505,
chr7:155301566|155302417	chr7	155301566	155302417	2	2_2_0	498	0.008	exon	ENSG00000186480.12,	+	SRR3479243.25675617,SRR3479243.3692666,
chr7:155503021|155509097	chr7	155503021	155509097	3	0_3_3	63	0.087	exon	ENSG00000283128.1,ENSG00000146910.12,	-	SRR3479243.21047107,SRR3479243.11540391,SRR3479243.30721385,
chr7:155665175|155680908	chr7	155665175	155680908	6	3_5_2	64	0.158	exon	ENSG00000184863.10,	+	SRR3479243.1239338,SRR3479243.17779111,SRR3479243.18010825,SRR3479243.7108702,SRR3479243.17717851,SRR3479243.30958160,
chr7:155672867|155680908	chr7	155672867	155680908	37	4_24_19	77	0.490	exon	ENSG00000184863.10,	+	SRR3479243.368941,SRR3479243.1097012,SRR3479243.2897813,SRR3479243.13146225,SRR3479243.13517324,SRR3479243.13817502,SRR3479243.13871282,SRR3479243.13993759,SRR3479243.14155881,SRR3479243.16702006,SRR3479243.22636655,SRR3479243.22645518,SRR3479243.22808824,SRR3479243.7069418,SRR3479243.8179834,SRR3479243.9184771,SRR3479243.19052398,SRR3479243.20843606,SRR3479243.21102704,SRR3479243.21456623,SRR3479243.25475760,SRR3479243.26792672,SRR3479243.27465629,SRR3479243.9473066,SRR3479243.9714688,SRR3479243.3414745,SRR3479243.5210796,SRR3479243.28358616,SRR3479243.12515765,SRR3479243.12657184,SRR3479243.15641459,SRR3479243.21990284,SRR3479243.24733208,SRR3479243.9094273,SRR3479243.26182478,SRR3479243.3548277,SRR3479243.28835472,
chr7:155678608|155680908	chr7	155678608	155680908	4	1_4_3	106	0.070	exon	ENSG00000184863.10,	+	SRR3479243.2705322,SRR3479243.22619223,SRR3479243.10365223,SRR3479243.3688537,
chr7:155763809|155774647	chr7	155763809	155774647	6	3_1_4	18	0.400	exon	ENSG00000184863.10,	+	SRR3479243.577836,SRR3479243.22851956,SRR3479243.23540862,SRR3479243.23887934,SRR3479243.24258552,SRR3479243.21342673,
chr7:155763812|155766655	chr7	155763812	155766655	2	2_2_0	21	0.160	exon	ENSG00000184863.10,	+	SRR3479243.15037138,SRR3479243.8767050,
chr7:156724112|156756465	chr7	156724112	156756465	2	0_2_2	285	0.014	exon	ENSG00000105983.19,	-	SRR3479243.13061292,SRR3479243.8016733,
chr7:156756393|156826744	chr7	156756393	156826744	7	2_5_4	118	0.106	exon	ENSG00000105983.19,	-	SRR3479243.16525260,SRR3479243.9280690,SRR3479243.19547642,SRR3479243.20028694,SRR3479243.4624769,SRR3479243.30269377,SRR3479243.20787128,
chr7:156826605|156836885	chr7	156826605	156836885	7	6_3_4	114	0.109	exon	ENSG00000105983.19,	-	SRR3479243.2248780,SRR3479243.16357222,SRR3479243.16370570,SRR3479243.8257189,SRR3479243.25966495,SRR3479243.26854682,SRR3479243.3935430,
chr7:156992944|156994181	chr7	156992944	156994181	2	2_2_0	4	0.500	intergenic_region	n/a	-	SRR3479243.17680992,SRR3479243.10088040,
chr7:157163810|157170450	chr7	157163810	157170450	2	0_2_2	199	0.020	exon	ENSG00000009335.17,	+	SRR3479243.612688,SRR3479243.30270340,
chr7:158644289|158646563	chr7	158644289	158646563	2	2_1_1	258	0.015	exon	ENSG00000146918.19,	-	SRR3479243.25491850,SRR3479243.30147880,
chr7:158671514|158675656	chr7	158671514	158675656	2	2_2_0	403	0.010	exon	ENSG00000146918.19,	-	SRR3479243.13717942,SRR3479243.21861432,
chr7:158679960|158689953	chr7	158679960	158689953	2	2_2_0	462	0.009	exon	ENSG00000146918.19,	-	SRR3479243.9290651,SRR3479243.5446389,
chr7:158759486|158764853	chr7	158759486	158764853	2	2_2_0	393	0.010	exon	ENSG00000117868.15,	-	SRR3479243.24523097,SRR3479243.5879423,
chr7:158773341|158799072	chr7	158773341	158799072	4	3_1_4	64	0.111	exon	ENSG00000117868.15,	-	SRR3479243.16618405,SRR3479243.17017461,SRR3479243.22749822,SRR3479243.4244291,
chr7:158788004|158799072	chr7	158788004	158799072	12	4_3_8	94	0.203	exon	ENSG00000117868.15,	-	SRR3479243.2576796,SRR3479243.12835619,SRR3479243.15524485,SRR3479243.15657506,SRR3479243.22192190,SRR3479243.24201907,SRR3479243.20059446,SRR3479243.26458435,SRR3479243.3480839,SRR3479243.3842896,SRR3479243.25071405,SRR3479243.12235717,
chr7:158869855|158876691	chr7	158869855	158876691	4	0_3_3	42	0.160	exon	ENSG00000126870.15,	+	SRR3479243.13319474,SRR3479243.21423219,SRR3479243.12262882,SRR3479243.28171558,
chr7:158879684|158918869	chr7	158879684	158918869	4	3_3_0	38	0.174	exon	ENSG00000126870.15,	+	SRR3479243.2062950,SRR3479243.14111452,SRR3479243.26574624,SRR3479243.28302282,
chr7:158911550|158918869	chr7	158911550	158918869	7	4_5_1	49	0.222	exon	ENSG00000126870.15,	+	SRR3479243.16586077,SRR3479243.24311765,SRR3479243.6788639,SRR3479243.8203270,SRR3479243.19882002,SRR3479243.26607064,SRR3479243.31012568,
chr8:668598|674047	chr8	668598	674047	5	4_4_0	107	0.085	exon	ENSG00000104714.13,	-	SRR3479243.15923383,SRR3479243.22501521,SRR3479243.8356104,SRR3479243.27227126,SRR3479243.4810105,
chr8:9743464|9748212	chr8	9743464	9748212	2	2_2_0	75	0.051	exon	ENSG00000173273.15,	+	SRR3479243.22341700,SRR3479243.29381881,
chr8:12430350|12430702	chr8	12430350	12430702	3	3_1_0	5	0.545	intron	ENSG00000145002.12,	-	SRR3479243.24492294,SRR3479243.12900197,SRR3479243.27168193,
chr8:12725727|12743282	chr8	12725727	12743282	2	1_1_1	51	0.073	exon	ENSG00000154359.12,	-	SRR3479243.21299623,SRR3479243.15981161,
chr8:13098399|13100770	chr8	13098399	13100770	2	1_2_0	132	0.029	exon	ENSG00000164741.14,	-	SRR3479243.23033097,SRR3479243.19081147,
chr8:15650697|15673836	chr8	15650697	15673836	2	1_1_2	220	0.018	exon	ENSG00000104723.20,	+	SRR3479243.23844559,SRR3479243.9310985,
chr8:15730666|15748465	chr8	15730666	15748465	6	0_5_6	180	0.062	exon	ENSG00000104723.20,	+	SRR3479243.1333045,SRR3479243.14551743,SRR3479243.7433756,SRR3479243.11491918,SRR3479243.3419027,SRR3479243.25776252,
chr8:17265907|17286427	chr8	17265907	17286427	3	0_3_3	9	0.400	exon	ENSG00000155975.9,	+	SRR3479243.1526355,SRR3479243.15677626,SRR3479243.10978549,
chr8:17743604|17755961	chr8	17743604	17755961	3	2_3_0	30	0.167	exon	ENSG00000129422.14,	-	SRR3479243.15965077,SRR3479243.26596151,SRR3479243.30897688,
chr8:18011237|18011827	chr8	18011237	18011827	4	4_4_0	153	0.050	exon	ENSG00000078674.17,	+	SRR3479243.16325379,SRR3479243.23068345,SRR3479243.27746977,SRR3479243.30428351,
chr8:18765449|18804898	chr8	18765449	18804898	15	6_13_7	72	0.294	exon	ENSG00000156011.16,	-	SRR3479243.2048538,SRR3479243.2284114,SRR3479243.2459547,SRR3479243.12785004,SRR3479243.15684592,SRR3479243.18100966,SRR3479243.8263367,SRR3479243.10472985,SRR3479243.11929568,SRR3479243.12017401,SRR3479243.4474981,SRR3479243.5489235,SRR3479243.28352103,SRR3479243.30111239,SRR3479243.30993332,
chr8:18799295|18804898	chr8	18799295	18804898	20	6_15_8	72	0.357	exon	ENSG00000156011.16,	-	SRR3479243.2227898,SRR3479243.2615786,SRR3479243.13174489,SRR3479243.13535649,SRR3479243.14996114,SRR3479243.17114512,SRR3479243.18238516,SRR3479243.22379825,SRR3479243.23964938,SRR3479243.7948051,SRR3479243.9173077,SRR3479243.19288486,SRR3479243.27314460,SRR3479243.11155854,SRR3479243.4842759,SRR3479243.28098586,SRR3479243.28480490,SRR3479243.16302223,SRR3479243.11465250,SRR3479243.27962092,
chr8:18867674|18872733	chr8	18867674	18872733	9	8_8_0	100	0.153	exon	ENSG00000156011.16,	-	SRR3479243.22779696,SRR3479243.20884891,SRR3479243.21180239,SRR3479243.25024304,SRR3479243.9433181,SRR3479243.3831227,SRR3479243.5211802,SRR3479243.6078747,SRR3479243.28383133,
chr8:22474954|22475624	chr8	22474954	22475624	7	6_6_0	39	0.264	exon	ENSG00000120910.14,	+	SRR3479243.2508192,SRR3479243.17491805,SRR3479243.22387878,SRR3479243.22788503,SRR3479243.7763614,SRR3479243.3260792,SRR3479243.29180884,
chr8:24917311|24917545	chr8	24917311	24917545	5	0_5_0	7321	0.001	exon	ENSG00000104722.13,	+	SRR3479243.1992681,SRR3479243.15880882,SRR3479243.19151874,SRR3479243.26880571,SRR3479243.27719428,
chr8:24952908|24953614	chr8	24952908	24953614	2	0_2_2	4471	0.001	exon	ENSG00000277586.1,	-	SRR3479243.10076785,SRR3479243.4972416,
chr8:26581969|26583983	chr8	26581969	26583983	4	2_2_2	82	0.089	exon	ENSG00000092964.17,	+	SRR3479243.14675041,SRR3479243.6885229,SRR3479243.6441692,SRR3479243.4735091,
chr8:27294080|27294310	chr8	27294080	27294310	6	6_6_0	62	0.162	exon	ENSG00000104228.12,	-	SRR3479243.14490320,SRR3479243.22877700,SRR3479243.6728893,SRR3479243.20187045,SRR3479243.27079731,SRR3479243.30970897,
chr8:27525362|27536855	chr8	27525362	27536855	3	3_0_3	31	0.162	exon	ENSG00000120915.13,	+	SRR3479243.15088400,SRR3479243.20126128,SRR3479243.26446368,
chr8:28155942|28162078	chr8	28155942	28162078	3	2_2_2	176	0.033	exon	ENSG00000134014.16,	+	SRR3479243.17175683,SRR3479243.20727679,SRR3479243.25219800,
chr8:28447171|28452476	chr8	28447171	28452476	2	1_2_1	35	0.103	exon	ENSG00000214050.7,	-	SRR3479243.21757666,SRR3479243.5380147,
chr8:28499933|28528164	chr8	28499933	28528164	2	0_1_2	13	0.235	exon	ENSG00000104290.10,	+	SRR3479243.20067704,SRR3479243.453801,
chr8:28835292|28837776	chr8	28835292	28837776	3	1_2_1	38	0.136	exon	ENSG00000104299.14,	-	SRR3479243.1788254,SRR3479243.24208296,SRR3479243.28521816,
chr8:28980071|29018913	chr8	28980071	29018913	2	1_2_1	45	0.082	exon	ENSG00000147421.17,	+	SRR3479243.16655121,SRR3479243.6239568,
chr8:29009072|29018913	chr8	29009072	29018913	3	2_2_0	80	0.070	exon	ENSG00000147421.17,	+	SRR3479243.2360323,SRR3479243.15623800,SRR3479243.25047544,
chr8:29098869|29099241	chr8	29098869	29099241	2	1_2_1	10	0.286	intron	ENSG00000197892.12,	-	SRR3479243.107888,SRR3479243.11344791,
chr8:30101898|30104486	chr8	30101898	30104486	10	6_10_4	261	0.071	exon	ENSG00000104660.17,	+	SRR3479243.403347,SRR3479243.13026795,SRR3479243.15606374,SRR3479243.16805958,SRR3479243.25003925,SRR3479243.25140414,SRR3479243.11377627,SRR3479243.12128639,SRR3479243.28014452,SRR3479243.28265529,
chr8:30607057|30614715	chr8	30607057	30614715	2	0_1_2	179	0.022	exon	ENSG00000197265.8,	-	SRR3479243.27918921,SRR3479243.27744325,
chr8:30700081|30703240	chr8	30700081	30703240	2	1_1_1	375	0.011	exon	ENSG00000104687.12,	-	SRR3479243.3017954,SRR3479243.12429528,
chr8:31080867|31100955	chr8	31080867	31100955	3	3_1_1	86	0.065	exon	ENSG00000165392.9,	+	SRR3479243.24648917,SRR3479243.5254948,SRR3479243.16784975,
chr8:33372644|33389798	chr8	33372644	33389798	3	1_3_0	21	0.222	exon	ENSG00000172728.15,	-	SRR3479243.16994188,SRR3479243.13747483,SRR3479243.6748647,
chr8:33388963|33389798	chr8	33388963	33389798	2	1_2_0	25	0.138	exon	ENSG00000172728.15,	-	SRR3479243.28857535,SRR3479243.11402513,
chr8:37473078|37476012	chr8	37473078	37476012	8	6_6_1	71	0.184	exon	ENSG00000253161.5,	-	SRR3479243.8485,SRR3479243.12964081,SRR3479243.15739894,SRR3479243.17150297,SRR3479243.23493428,SRR3479243.26942323,SRR3479243.6223757,SRR3479243.29420585,
chr8:37765526|37766355	chr8	37765526	37766355	12	8_2_7	47	0.338	exon	ENSG00000147471.11,	+	SRR3479243.12666168,SRR3479243.14853866,SRR3479243.17124276,SRR3479243.17864476,SRR3479243.22483364,SRR3479243.23311345,SRR3479243.7354413,SRR3479243.19573265,SRR3479243.26324586,SRR3479243.3808834,SRR3479243.28369170,SRR3479243.5596313,
chr8:37870420|37877551	chr8	37870420	37877551	5	2_4_1	71	0.123	exon	ENSG00000156675.15,	-	SRR3479243.22996091,SRR3479243.20697622,SRR3479243.11492366,SRR3479243.6101669,SRR3479243.30637555,
chr8:37877109|37877551	chr8	37877109	37877551	2	1_2_0	73	0.052	exon	ENSG00000156675.15,	-	SRR3479243.28257575,SRR3479243.25629665,
chr8:38347497|38348215	chr8	38347497	38348215	2	2_1_0	55	0.068	exon	ENSG00000147548.16,	-	SRR3479243.18230548,SRR3479243.19447298,
chr8:38424509|38426245	chr8	38424509	38426245	2	2_2_0	53	0.070	exon	ENSG00000077782.19,	-	SRR3479243.23951282,SRR3479243.24191028,
chr8:38819522|38820635	chr8	38819522	38820635	2	1_2_0	37	0.098	exon	ENSG00000147526.19,	+	SRR3479243.2310117,SRR3479243.27722655,
chr8:39088535|39088963	chr8	39088535	39088963	2	1_1_1	0	1	intron	ENSG00000168615.11,	+	SRR3479243.4975031,SRR3479243.19812145,
chr8:41974704|41987563	chr8	41974704	41987563	2	2_0_2	68	0.056	exon	ENSG00000083168.9,	-	SRR3479243.20703640,SRR3479243.6070010,
chr8:42048378|42049707	chr8	42048378	42049707	2	2_2_0	45	0.082	exon	ENSG00000083168.9,	-	SRR3479243.20662532,SRR3479243.30293136,
chr8:42861745|42887871	chr8	42861745	42887871	2	2_2_0	40	0.091	exon	ENSG00000120925.14,	-	SRR3479243.1742416,SRR3479243.21046605,
chr8:42925557|42930172	chr8	42925557	42930172	2	1_1_2	40	0.091	exon	ENSG00000168172.8,	+	SRR3479243.26255046,SRR3479243.5532912,
chr8:42973289|42986795	chr8	42973289	42986795	2	2_2_0	165	0.024	exon	ENSG00000168172.8,	+	SRR3479243.14095283,SRR3479243.5720481,
chr8:47279862|47294030	chr8	47279862	47294030	7	4_5_1	67	0.173	exon	ENSG00000164808.16,	+	SRR3479243.1488528,SRR3479243.14606659,SRR3479243.7420046,SRR3479243.7724538,SRR3479243.3388115,SRR3479243.1054543,SRR3479243.13904811,
chr8:47284028|47294030	chr8	47284028	47294030	5	2_5_3	96	0.094	exon	ENSG00000164808.16,	+	SRR3479243.9003392,SRR3479243.20381620,SRR3479243.27007803,SRR3479243.27918790,SRR3479243.30022892,
chr8:47396376|47407961	chr8	47396376	47407961	12	11_9_2	57	0.296	exon	ENSG00000164808.16,	+	SRR3479243.1840180,SRR3479243.2500072,SRR3479243.3021447,SRR3479243.15477455,SRR3479243.18204133,SRR3479243.23954474,SRR3479243.24673756,SRR3479243.9261324,SRR3479243.20029102,SRR3479243.21115055,SRR3479243.26944300,SRR3479243.12181780,
chr8:47595811|47599196	chr8	47595811	47599196	2	2_1_0	50	0.074	exon	ENSG00000164808.16,	+	SRR3479243.26365469,SRR3479243.17714961,
chr8:47700403|47702015	chr8	47700403	47702015	3	3_1_2	96	0.059	exon	ENSG00000164808.16,	+	SRR3479243.22237965,SRR3479243.6980573,SRR3479243.25596447,
chr8:47927194|47927890	chr8	47927194	47927890	2	2_2_0	869	0.005	exon	ENSG00000253729.7,	-	SRR3479243.26319402,SRR3479243.28675967,
chr8:51845661|51861246	chr8	51845661	51861246	4	2_4_2	35	0.186	exon	ENSG00000168300.13,	-	SRR3479243.8702,SRR3479243.17871641,SRR3479243.9901297,SRR3479243.4291067,
chr8:51857460|51861246	chr8	51857460	51861246	3	3_3_0	24	0.200	intron	ENSG00000168300.13,	-	SRR3479243.16702422,SRR3479243.26311609,SRR3479243.3800471,
chr8:51860845|51861246	chr8	51860845	51861246	39	21_23_2	29	0.729	exon	ENSG00000168300.13,	-	SRR3479243.636800,SRR3479243.699216,SRR3479243.1353288,SRR3479243.1841932,SRR3479243.2797641,SRR3479243.13061235,SRR3479243.15353419,SRR3479243.16189833,SRR3479243.16352595,SRR3479243.17347393,SRR3479243.18269201,SRR3479243.18561198,SRR3479243.22024459,SRR3479243.23417492,SRR3479243.6478252,SRR3479243.6606301,SRR3479243.6935756,SRR3479243.7386065,SRR3479243.7911754,SRR3479243.9091009,SRR3479243.19090036,SRR3479243.19718257,SRR3479243.20331097,SRR3479243.26208889,SRR3479243.26527278,SRR3479243.27883991,SRR3479243.9951011,SRR3479243.10551157,SRR3479243.11210936,SRR3479243.11899773,SRR3479243.4520650,SRR3479243.5645724,SRR3479243.30779659,SRR3479243.30881556,SRR3479243.14776578,SRR3479243.16907107,SRR3479243.17786521,SRR3479243.19187326,SRR3479243.20968147,
chr8:51860861|51861246	chr8	51860861	51861246	3	3_3_0	45	0.118	exon	ENSG00000168300.13,	-	SRR3479243.1965691,SRR3479243.7140695,SRR3479243.19185534,
chr8:52668021|52676571	chr8	52668021	52676571	2	2_1_0	73	0.052	exon	ENSG00000023287.12,	-	SRR3479243.25905277,SRR3479243.18806979,
chr8:53743577|53756656	chr8	53743577	53756656	2	1_2_1	171	0.023	exon	ENSG00000047249.16,	-	SRR3479243.19898675,SRR3479243.4455745,
chr8:55782748|55796152	chr8	55782748	55796152	2	1_2_1	36	0.100	exon	ENSG00000137574.10,	+	SRR3479243.9282778,SRR3479243.27574556,
chr8:58623220|58635546	chr8	58623220	58635546	3	1_2_3	47	0.113	exon	ENSG00000035681.7,	-	SRR3479243.22170838,SRR3479243.25196254,SRR3479243.10914335,
chr8:60208750|60226935	chr8	60208750	60226935	2	2_1_1	119	0.033	exon	ENSG00000178538.9,	-	SRR3479243.8914975,SRR3479243.20105510,
chr8:60584208|60591969	chr8	60584208	60591969	3	3_3_0	225	0.026	exon	ENSG00000104388.14,	+	SRR3479243.12872108,SRR3479243.13894489,SRR3479243.3191867,
chr8:60741259|60781430	chr8	60741259	60781430	2	2_1_0	74	0.051	exon	ENSG00000171316.11,	+	SRR3479243.11598979,SRR3479243.25679419,
chr8:60794986|60801593	chr8	60794986	60801593	8	6_4_2	91	0.150	exon	ENSG00000171316.11,	+	SRR3479243.16357720,SRR3479243.23090262,SRR3479243.24038289,SRR3479243.6518973,SRR3479243.25600499,SRR3479243.10454243,SRR3479243.10621473,SRR3479243.3893462,
chr8:61618978|61653660	chr8	61618978	61653660	8	0_7_8	196	0.075	exon	ENSG00000283485.1,ENSG00000198363.16,	-	SRR3479243.1556089,SRR3479243.2740976,SRR3479243.27568826,SRR3479243.10212804,SRR3479243.10806769,SRR3479243.11919081,SRR3479243.28915516,SRR3479243.17708350,
chr8:61633683|61653660	chr8	61633683	61653660	3	0_3_3	360	0.016	exon	ENSG00000198363.16,ENSG00000283485.1,	-	SRR3479243.1013181,SRR3479243.20539047,SRR3479243.26042373,
chr8:61680968|61684188	chr8	61680968	61684188	17	3_8_10	170	0.167	exon	ENSG00000283485.1,ENSG00000198363.16,	-	SRR3479243.1856086,SRR3479243.2955307,SRR3479243.22020388,SRR3479243.22613980,SRR3479243.22714052,SRR3479243.23341701,SRR3479243.24172085,SRR3479243.18708032,SRR3479243.18760469,SRR3479243.20913363,SRR3479243.25015939,SRR3479243.26987897,SRR3479243.10869377,SRR3479243.30056440,SRR3479243.12987729,SRR3479243.24316872,SRR3479243.4753392,
chr8:66592440|66602523	chr8	66592440	66602523	3	3_2_1	28	0.176	exon	ENSG00000185697.16,	-	SRR3479243.13333901,SRR3479243.25901479,SRR3479243.10982936,
chr8:66601698|66602523	chr8	66601698	66602523	2	2_1_1	27	0.129	exon	ENSG00000185697.16,	-	SRR3479243.27563773,SRR3479243.30660411,
chr8:67103037|67116156	chr8	67103037	67116156	2	1_1_1	31	0.114	intron	ENSG00000104218.14,	+	SRR3479243.17272491,SRR3479243.197564,
chr8:67105905|67116122	chr8	67105905	67116122	6	2_5_4	69	0.148	exon	ENSG00000104218.14,	+	SRR3479243.12963197,SRR3479243.13003259,SRR3479243.21064280,SRR3479243.24863479,SRR3479243.29687467,SRR3479243.6011715,
chr8:67131951|67137603	chr8	67131951	67137603	2	2_2_0	22	0.154	exon	ENSG00000104218.14,	+	SRR3479243.13575775,SRR3479243.19893872,
chr8:67287955|67302466	chr8	67287955	67302466	5	4_0_4	69	0.127	exon	ENSG00000066777.8,	-	SRR3479243.18239151,SRR3479243.24333264,SRR3479243.19469432,SRR3479243.17951225,SRR3479243.30963678,
chr8:67299209|67301380	chr8	67299209	67301380	3	2_2_0	62	0.088	exon	ENSG00000066777.8,	-	SRR3479243.14062323,SRR3479243.8134664,SRR3479243.27427369,
chr8:67299209|67302466	chr8	67299209	67302466	4	3_0_3	60	0.118	exon	ENSG00000066777.8,	-	SRR3479243.22094161,SRR3479243.24812129,SRR3479243.16040764,SRR3479243.11617797,
chr8:68022036|68038292	chr8	68022036	68038292	4	3_4_0	23	0.258	exon	ENSG00000046889.18,	+	SRR3479243.18307363,SRR3479243.11122488,SRR3479243.12085440,SRR3479243.24037579,
chr8:69738040|69761875	chr8	69738040	69761875	2	2_1_0	10	0.286	exon	ENSG00000137571.10,	-	SRR3479243.25946649,SRR3479243.10869142,
chr8:70213903|70216764	chr8	70213903	70216764	4	4_4_0	31	0.205	exon	ENSG00000140396.12,	-	SRR3479243.20970420,SRR3479243.25826863,SRR3479243.26209419,SRR3479243.3323373,
chr8:70583164|70598255	chr8	70583164	70598255	2	2_2_0	279	0.014	exon	ENSG00000067167.7,	-	SRR3479243.20317422,SRR3479243.12429436,
chr8:70674818|70707153	chr8	70674818	70707153	2	1_2_1	0	1	exon	ENSG00000221947.7,	+	SRR3479243.18751721,SRR3479243.27570946,
chr8:71269740|71299720	chr8	71269740	71299720	2	1_1_2	56	0.067	exon	ENSG00000104313.17,	-	SRR3479243.27473523,SRR3479243.11574420,
chr8:71299047|71334174	chr8	71299047	71334174	5	3_1_3	72	0.122	exon	ENSG00000104313.17,	-	SRR3479243.14695816,SRR3479243.21786526,SRR3479243.4392985,SRR3479243.5862613,SRR3479243.19166540,
chr8:71317552|71334174	chr8	71317552	71334174	2	2_1_1	73	0.052	exon	ENSG00000104313.17,	-	SRR3479243.19153015,SRR3479243.11852615,
chr8:73603726|73688813	chr8	73603726	73688813	2	2_2_0	118	0.033	exon	ENSG00000040341.17,	-	SRR3479243.1619405,SRR3479243.21147342,
chr8:73673107|73688813	chr8	73673107	73688813	11	10_10_0	104	0.175	exon	ENSG00000040341.17,	-	SRR3479243.384505,SRR3479243.843111,SRR3479243.18490003,SRR3479243.6770429,SRR3479243.7738177,SRR3479243.25697387,SRR3479243.27731665,SRR3479243.3264481,SRR3479243.4455990,SRR3479243.27661615,SRR3479243.28507866,
chr8:73673107|73739868	chr8	73673107	73739868	2	2_2_0	74	0.051	exon	ENSG00000040341.17,	-	SRR3479243.14203988,SRR3479243.9843357,
chr8:74244529|74245175	chr8	74244529	74245175	9	7_7_0	65	0.217	exon	ENSG00000104369.4,	-	SRR3479243.2990187,SRR3479243.18429198,SRR3479243.7133300,SRR3479243.7832246,SRR3479243.21382288,SRR3479243.25630450,SRR3479243.3543911,SRR3479243.5516973,SRR3479243.104983,
chr8:79917978|79919148	chr8	79917978	79919148	3	3_3_0	73	0.076	intergenic_region	n/a	-	SRR3479243.23349472,SRR3479243.23828346,SRR3479243.5846326,
chr8:80499494|80500382	chr8	80499494	80500382	8	6_8_1	142	0.101	exon	ENSG00000205189.11,	+	SRR3479243.123132,SRR3479243.3107884,SRR3479243.14208200,SRR3479243.16349105,SRR3479243.8723025,SRR3479243.9539661,SRR3479243.10966250,SRR3479243.23514618,
chr8:81713918|81718224	chr8	81713918	81718224	2	2_0_2	89	0.043	exon	ENSG00000104231.10,	-	SRR3479243.1644263,SRR3479243.30935276,
chr8:86402019|86402203	chr8	86402019	86402203	2	2_2_0	14	0.222	exon	ENSG00000123124.13,	+	SRR3479243.8728451,SRR3479243.19992191,
chr8:89587891|89596481	chr8	89587891	89596481	3	2_2_0	5	0.545	intergenic_region	n/a	-	SRR3479243.10921084,SRR3479243.28990975,SRR3479243.1802641,
chr8:89587891|89596512	chr8	89587891	89596512	3	3_3_0	4	0.600	intergenic_region	n/a	-	SRR3479243.8072428,SRR3479243.18695122,SRR3479243.19785176,
chr8:89647740|89725641	chr8	89647740	89725641	2	2_2_0	42	0.087	intron	ENSG00000251136.8,	-	SRR3479243.811629,SRR3479243.12993090,
